Unnamed: 0,state,action,pos
,         ,5,277.962890625
,   X O   ,6,12.3046875
, X X OO  ,2,5.8125
, XOX OOX ,4,8.0
,         ,0,270.439453125
,O   X    ,7,2.8828125
,O   XX O ,6,1.5
,OX  XXOO ,3,3.0
,         ,6,270.45703125
, X    O  ,0,3.09375
,OX   XO  ,4,1.5
,OX XOXO  ,8,2.0
,     O  X,7,4.5703125
,     OXOX,1,0.5625
,XO   OXOX,2,0.0
,         ,7,239.677734375
,X      O ,2,3.375
,X O    OX,5,1.6875
,X OX O OX,6,2.25
,XXOX OOOX,4,14.0
,         ,8,295.330078125
,   X    O,6,3.7734375
,X  X  O O,5,0.5625
,X XX OO O,4,0.0
, X    O  ,3,5.859375
, X OX O  ,5,2.25
, XXOXOO  ,0,4.0
,     XO  ,7,3.375
,  X  XOO ,4,0.75
, XX OXOO ,8,2.0
,         ,2,1788.1875
,  O   X  ,5,68.7890625
,  OX OX  ,8,2.0
,         ,3,241.3125
,   OX    ,6,10.546875
,XX OXOO  ,7,0.0
,         ,1,292.939453125
, O      X,5,2.7421875
, O   OX X,7,1.3125
, O  XOXOX,3,0.0
,  O    X ,1,144.6796875
, OOX   X ,5,1.3125
,XOOX O X ,4,2.25
,XOOXOO XX,6,16.0
,     X O ,1,10.59375
, O   X OX,4,4.75
, O     X ,8,3.09375
,XO     XO,3,1.125
,XO O X XO,4,1.125
,XOXOOX XO,6,6.0
,X     O  ,2,10.1015625
,XXO   O  ,5,5.0625
,XXO XOO  ,8,9.0
, X     O ,2,12.796875
, XO  X O ,4,1.78125
,XXO OX O ,6,2.0
,O   X    ,5,3.09375
,O   XO  X,6,4.6875
,O X XOO X,3,3.0
,         ,4,320.115234375
, X  O    ,7,11.953125
, X  O XO ,3,5.90625
,XX OO XO ,5,2.0
,  OX     ,7,11.8125
,  OX X O ,6,3.75
, XOX XOO ,8,6.0
,     X  O,6,15.4453125
,X    XO O,7,1.0
,O  X     ,5,4.21875
,O XX O   ,4,3.28125
,O XXOO X ,8,2.0
,  X    O ,4,2.6953125
, XX O  O ,0,0.5625
,OXX O XO ,3,1.5
,OXXOO XOX,5,9.0
,    O  X ,0,16.8515625
,O   OX X ,8,3.0
,X    O   ,2,9.1875
,XXO  O   ,8,14.0
,   O X   ,8,6.46875
, X O X  O,7,2.0625
, X OXX OO,6,2.0
,  O     X,4,11.8828125
, XO O   X,7,3.46875
,XXO O  OX,5,3.0
,XXO OOXOX,3,19.0
,    XO   ,3,1.265625
,   OXO  X,1,0.0
, O OXOX X,0,0.0
,     X O ,4,4.828125
, X  OX O ,0,1.125
,OX  OX OX,2,2.25
,OXOXOX OX,6,7.0
,O      X ,6,4.828125
,O  X  OX ,8,1.125
,O  X XOXO,1,0.75
, O    X  ,4,13.828125
, O  O XX ,0,1.875
,OOX O XX ,8,3.0
,     OX  ,1,2.390625
, O   OX X,4,0.75
, O XOOX X,0,0.75
,     XO  ,3,6.796875
,X  O XO  ,2,1.3125
,X OOXXO  ,8,4.5
,XXOOXXO O,7,20.0
,      X O,2,5.3203125
,  O  XX O,4,3.9375
,  OXOXX O,1,1.5
, OOXOXXXO,0,17.0
,X O  XO  ,8,5.625
,X O  XOXO,1,4.5
,XOOX XOXO,4,15.0
,     O  X,3,113.5078125
, X O O  X,2,4.875
, XOOXO  X,6,0.0
,    X O  ,1,9.2109375
,XO  X O  ,7,2.0625
,XOX X OO ,8,3.0
, O     X ,6,4.1484375
, O    OXX,3,0.5625
, O O XOXX,4,1.5
,XO OOXOXX,2,8.0
,     XO  ,8,2.5078125
,    XXO O,3,5.25
,X  OXXO O,2,4.875
,XO       ,8,12.9375
,XOX     O,6,2.4375
,XOX   OXO,4,1.125
,XOX OXOXO,3,6.5
, O      X,3,1.125
, O O   XX,0,3.0
,OO OX  XX,2,4.0
, X O     ,8,2.671875
, X OX   O,0,1.78125
,OX OXX  O,6,4.0
,     O X ,1,12.515625
, OX  O X ,0,0.5625
,OOX  O XX,4,0.375
,OOXXOO XX,6,10.0
,     X O ,6,1.96875
,  X  XOO ,1,1.5
, OXX XOO ,8,5.0
,      XO ,8,9.28125
,    X XOO,0,0.0
,O   XXXOO,2,0.375
,     XXOO,1,2.0625
, O  XXXOO,2,1.5
,O      X ,3,3.796875
,O  O   XX,2,0.0
,    XO   ,0,5.765625
,OX  XO   ,8,0.5625
,OX  XOX O,7,0.75
,OX XXOXOO,2,13.0
,O  X     ,1,13.5703125
,OO X   X ,8,2.0625
,OO XX  XO,5,1.875
,OO XXOXXO,2,18.0
,O  X O X ,4,1.875
,OX XOO X ,8,1.0
,      O X,0,4.265625
,O     OXX,5,2.4375
,OX   OOXX,4,1.5
,OX XOOOXX,2,16.0
,  O     X,0,118.9453125
,O OX    X,7,0.28125
,OXOX   OX,5,4.125
,OXOXXO OX,6,17.0
,X       O,5,2.53125
,X    OX O,7,1.3125
,X X  OXOO,4,0.0
, X     O ,3,2.6015625
, X O  XO ,4,5.625
, X OOXXO ,8,7.125
, XXOOXXOO,0,14.0
,  O X    ,6,8.578125
,  OXX O  ,7,0.0
,  OXX OOX,0,0.0
,     X O ,3,3.9375
,   OXX O ,1,0.0
, OXOXX O ,0,0.0
, O X     ,2,15.09375
, OOX    X,5,4.3125
, OOX O XX,4,0.75
, O X     ,0,119.765625
,OO X X   ,8,17.25
,OO X X XO,2,17.0
,     O  X,4,13.265625
, X  OO  X,6,2.25
,XX  OOO X,2,4.0
, XXO    O,0,0.5625
,OXXO  X O,7,1.5
,OXXO XXOO,4,10.0
,   O    X,7,2.1796875
,   OX  OX,5,0.28125
,   OXOXOX,1,0.0
,   OX    ,5,3.515625
,  XOXO   ,8,0.28125
,X XOXO  O,1,0.375
,OO XX    ,5,2.53125
,OO XXOX  ,8,1.5
,   OX    ,7,7.9453125
,X  OX  O ,8,1.3125
,X XOX  OO,1,0.75
,XOXOXX OO,6,10.0
, X    O  ,7,2.859375
, XX   OO ,8,4.0
,     OX  ,3,3.1171875
,X  O OX  ,7,0.5625
,X  OXOXO ,2,0.75
,XXOOXOXO ,8,15.0
, O  X    ,2,8.71875
, OOXX    ,5,2.0625
, OOXXO X ,6,0.75
,XOOXXOOX ,8,14.0
,    X   O,1,7.875
, O XX   O,5,3.375
, O XXOX O,2,5.0
,OO XX    ,6,0.5625
,OO XX OX ,8,0.375
,OOXXX OXO,5,3.0
,X O      ,1,9.6328125
,XOO X    ,6,3.375
,XOOXX O  ,5,3.0
,    OX   ,3,2.390625
,   OOX  X,1,0.5625
,XO OOX  X,2,1.5
,XOOOOX XX,6,19.0
, X   O   ,4,16.734375
, X  OO  X,3,1.0
,  X O    ,7,4.4296875
,X X O  O ,3,0.75
,X XOO  OX,1,1.0
,   O  X  ,8,5.34375
,   O  XXO,5,1.125
,   OXOXXO,0,0.0
,   OOX  X,7,0.5625
, X OOX OX,0,0.375
,X O      ,3,11.109375
,X OOX    ,6,0.0
,X OOX OX ,8,1.125
,  O    X ,4,698.4609375
, XO O  X ,6,119.0
,X       O,7,12.9140625
,X X    OO,6,2.0
,  O    X ,6,67.59375
,  OX  OX ,0,8.625
,O OX  OXX,5,3.0
,OXOX OOXX,4,13.0
,X O  OX  ,7,2.8125
,X O  OXOX,4,3.0
,  O   X  ,3,10.96875
,X OO  X  ,7,3.09375
,XXOO  XO ,8,0.375
,XXOO XXOO,4,10.0
,X      O ,3,2.0390625
,X  OXX OO,6,2.0
,   O X   ,4,1.8984375
,X  OOX   ,6,0.28125
,X XOOXO  ,1,1.125
,XOXOOXOX ,8,5.0
,O X      ,5,9.0703125
,O XX O   ,6,1.6875
,OXXX OO  ,8,3.0
,OXXXXOO O,7,15.0
, XO  OX  ,4,1.78125
, XO OOXX ,3,11.0
,     O  X,0,13.078125
,O   XO  X,1,1.59375
,OOX XO  X,7,1.125
,OOXXXO OX,6,12.0
,     OX  ,4,10.1953125
,   XOOX  ,1,0.5625
,OOXXOOX X,7,18.0
,   O X   ,6,2.390625
,   OXXO  ,8,3.75
,  XOXXO O,7,3.0
,   X   O ,1,14.3203125
, O X   OX,0,11.34375
,OOXX   OX,4,12.0
,      OX ,1,3.9375
, OX   OX ,4,2.53125
, OX OXOX ,8,2.25
,    X O  ,5,12.5859375
,X   XOO  ,2,0.75
,O  X     ,6,5.34375
,OX X  O  ,4,1.5
,OX XO O X,2,5.0
,      OX ,4,14.7421875
,  X O OX ,1,0.28125
,XOX O OX ,8,1.875
,  O  X   ,7,15.3984375
,X O  X O ,1,1.3125
,XOOX X O ,6,0.75
,    X O  ,8,9.3046875
,    X OXO,0,0.0
,O  XX OXO,1,0.375
,   X O   ,0,2.25
,O  XXO   ,8,2.4375
,OX XXO  O,2,2.0
,OX X  O  ,2,0.28125
,OXOX  O X,5,1.875
,OXOXXOO X,7,14.0
,    XO   ,6,9.3515625
, X  XOO  ,7,3.5625
, XX XOOO ,0,1.5
,OXX XOOOX,3,14.0
,  O     X,3,11.671875
,  OO X  X,7,2.25
,  OOXX OX,6,2.25
, XOOXXOOX,0,18.0
,O     X  ,7,10.828125
,O     XOX,2,0.84375
,OXO   XOX,4,6.0
,OXO OXXOX,3,26.5
,     O X ,0,2.109375
,O    O XX,3,0.0
,X O      ,4,14.625
,X O O   X,7,1.125
,XXO O  OX,3,1.5
,XXOOO XOX,5,19.0
,    O   X,7,2.34375
,   XO  OX,1,6.0
,  OO  XX ,5,1.5
, XOO OXX ,4,2.0
,O      X ,2,15.234375
,OXO    X ,8,33.0
,OXOX   XO,4,28.0
, O   X   ,0,10.78125
,OO X X XO,4,4.0
,O    X   ,6,2.8125
,OX   XO  ,3,2.0
,   X  OXO,0,1.5
,OX X  OXO,4,2.0
,    X   O,2,9.703125
,  O X  XO,6,3.9375
,  O XXOXO,0,0.0
,  OXX   O,0,4.3125
,OXOXX   O,5,8.0
,   X   O ,4,5.15625
,  XXO  O ,5,0.5625
,  XXOO OX,6,2.25
,X XXOOOOX,1,8.0
,      OX ,5,2.953125
,    XOOX ,8,0.0
,  O     X,7,13.2890625
,  O X  OX,1,4.3125
, OO X XOX,5,0.75
, OOXXOXOX,0,19.0
,    XO   ,2,1.1953125
, XO XO   ,7,1.125
, XO XO OX,0,3.0
,  O    X ,8,99.1640625
,  O   XXO,3,2.625
,  OOX XXO,0,1.5
,    OX   ,6,3.984375
,   XOXO  ,0,0.75
,O  XOXO X,1,0.0
,OX   OOXX,2,0.75
,X O      ,5,54.046875
,X O  O X ,1,1.3125
,XOO XO X ,8,1.0
,     X O ,0,3.8671875
,O X  X O ,8,3.5625
,O X  XXOO,3,0.75
,  X     O,6,10.921875
,  X X O O,3,0.75
, XXOX O O,5,0.0
,XO  X O  ,3,0.5625
,  XXO  O ,6,0.28125
,  XXO OOX,5,0.375
, XXXOOOOX,0,7.5
, X OX O  ,7,9.1875
, XXOX OO ,0,2.0
,O  X  O X,5,0.84375
,O  X OOXX,2,1.5
, X     O ,5,2.25
, X X O O ,2,0.28125
, XOX O OX,0,2.25
,OX       ,8,3.234375
,OXX     O,4,4.0
,X     O  ,4,3.2578125
,X   OXO  ,7,1.5
,XX  OXOO ,8,3.0
,  O  XXO ,0,2.90625
,O O XXXO ,3,3.375
,OXOOXXXO ,8,17.5
,   X  O  ,1,3.375
, O X XO  ,2,0.75
, XO      ,7,8.3671875
, XO X  O ,3,8.71875
, XOOX  OX,0,14.625
,OXOOX XOX,5,29.0
,X O      ,6,16.4296875
,X O XXO O,3,1.875
,  XO     ,6,0.6328125
,X XO  O  ,7,0.0
,X XO  OOX,4,0.0
, O     X ,5,2.1796875
,OOX  O XX,3,0.0
, O  XX  O,2,0.0
,   XO    ,8,3.09375
,  XXO   O,6,1.3125
,X XXO O O,1,2.625
,XOXXO OXO,5,11.0
,   X O   ,8,6.375
,  XX O  O,6,0.84375
,  XX OOXO,1,0.375
, OXXXOOXO,0,8.0
,  X    O ,0,2.4609375
,O XX   O ,8,0.0
,O XX  XOO,1,0.75
,OO X   X ,4,3.1875
,OO XOX X ,2,1.0
,      OX ,8,1.40625
,O   XXOXO,2,0.0
,   OX    ,2,9.140625
,  OOX  X ,5,0.0
,   OXOX  ,0,0.84375
,O  OXOX X,7,1.5
,OX OXOXOX,2,11.0
, XO      ,0,58.359375
,OXO    X ,4,7.125
,OXO O XX ,8,103.0
,    OOXX ,8,4.875
,  X OOXXO,3,3.0
,  X O    ,0,18.5859375
,O XXO    ,7,1.78125
,O XXO  OX,1,2.0
,  XO     ,4,10.40625
,  XOOX   ,8,2.0625
,  XOOXX O,7,0.75
,X O   OX ,1,7.03125
,XOOX  OX ,8,3.0
,XOOXX OXO,5,16.0
,   X  O  ,2,3.375
,  OX  O X,5,1.125
,  OXXOO X,1,0.75
,XX  O  O ,6,3.375
,XX  OXOO ,3,1.5
,XX OOXOOX,2,8.0
,  XO     ,0,2.90625
,OXXO     ,5,2.0625
,OXXO O  X,7,1.5
,OXXO OXOX,4,10.0
, O    X  ,5,3.234375
, OX  OX  ,0,2.25
,OOXX OX  ,4,0.75
,  O  X   ,8,11.1796875
,  OX X  O,4,3.5625
,  OXOX XO,6,2.0
,X       O,4,1.546875
,XX  O   O,6,0.75
,XX  O OXO,2,3.0
,  O X    ,3,9.4921875
,  OOX  X ,0,4.5
,O OOXX X ,1,6.0
,O     X  ,1,11.25
,OOX   X  ,4,8.25
,OOX O XX ,5,1.5
,OOXXOOXX ,8,11.0
,   X   O ,6,2.6015625
, X X  OO ,2,1.6875
, XOXX OO ,5,2.25
,XXOXXOOO ,8,16.0
,    XO   ,7,0.5625
,   XXO O ,8,0.75
, X XXO OO,6,6.0
,X  O     ,8,8.859375
,XX O    O,5,2.25
,XX O O XO,4,3.0
,      XO ,1,9.2578125
, O X  XO ,0,3.5625
,OOXX  XO ,8,1.5
,OOXX XXOO,4,11.0
,   X    O,1,10.6875
, OXX    O,7,0.75
, OXX  XOO,4,4.0
,   X   O ,2,4.359375
,  OX  XO ,1,1.3125
, OOXX XO ,5,1.5
,  XOO X  ,5,3.0
, OX   XO ,8,0.75
, OXX  XOO,5,0.0
,   O   X ,6,16.453125
, X O  OX ,8,0.75
, XXO  OXO,0,4.0
, X O     ,4,11.3203125
, X OO  X ,6,4.3125
, XXOO OX ,8,0.75
, XXOOXOXO,0,6.0
,      X O,0,14.671875
,O X   X O,4,1.0
,  O  X   ,1,22.96875
, OO XX   ,8,1.125
,XOO XX  O,7,13.5
,XOO XXXOO,3,33.5
,X      O ,8,2.8125
