Unnamed: 0,state,action,pos
,     O   ,3,18.606375
,   X OO  ,1,1.125
, XOX OO  ,7,2.25
,O        ,4,16.02
,O   X  O ,5,0.9675
,O   XXOO ,1,0.0
,      O  ,1,11.83275
,OX    O  ,5,0.0
,OX  OXO  ,3,0.0
,     O   ,8,63.770625
,     O OX,6,6.1875
, O   OXOX,0,3.0
,XOO  OXOX,3,4.0
,       O ,0,24.910875
,X O    O ,8,2.8125
,X O  O OX,3,0.0
,X OX OOOX,1,0.0
,        O,3,18.858375
,   X  O O,0,1.935
,X  X OO O,2,0.75
,X XXOOO O,1,5.0
, X O  O  ,4,0.75
, X OXOO  ,2,0.75
,      O  ,5,13.525875
,     XOO ,2,0.5625
,  X OXOO ,1,0.0
,  O      ,6,118.47150000000016
,  O  OX  ,3,6.3075
,  OX OX O,4,0.0
,   O     ,4,101.48400000000012
,   OX O  ,1,6.75
, X OXOO  ,0,3.0
,XX OXOOO ,2,5.0
, O       ,8,15.379875
, O   O  X,6,6.375
, O   OXOX,4,1.5
, O OXOXOX,2,6.0
,  O      ,7,1747.7122499999923
, OO    X ,3,0.0
, OOX O X ,0,2.25
,XOOXOO X ,8,0.0
,       O ,5,20.764125
, O   X O ,8,1.3125
, O  OX OX,0,0.0
, O       ,7,14.6655
, O     XO,0,2.4300000000000006
,XO O   XO,5,0.9
,XO OOX XO,2,1.0
,      O  ,0,14.869125
,X O   O  ,1,2.8125
,XXO  OO  ,4,5.25
,       O ,1,16.482374999999998
, XO    O ,5,0.81
, XO OX O ,0,0.0
,O   XO   ,8,0.0
,O   XOO X,2,0.45
,    O    ,1,17.19675
, X  O  O ,6,1.7775
, X OO XO ,0,0.0
,  O      ,3,79.65787500000008
,  OX   O ,5,0.75
,  OX XOO ,1,0.0
,        O,5,14.800499999999996
,     XO O,0,0.0
,O        ,3,12.952124999999995
,O  X O   ,2,0.81
,O XXOO   ,7,0.45
,       O ,2,22.399875
,  X O  O ,1,0.5625
,OXX O  O ,6,0.0
,OXXOO XO ,8,0.0
,    O    ,7,6.999749999999999
,O   O  X ,5,0.5625
,     O   ,0,16.36425
,X O  O   ,1,2.8125
,   O     ,5,14.5305
,   O X  O,1,1.125
, X O X OO,4,0.0
,  O      ,8,81.36337500000012
,  O O   X,1,1.3725
, XO O  OX,0,0.0
,XXO OO OX,6,0.0
,     O   ,4,20.988
,   OXO   ,8,14.115
, O OXO  X,6,3.0
